Game_Title,All_Review_Cat,Release_Date,Game_Developer,Game_Publisher,Player_Type,Has_Violence,Price_Original_Before_Discount,Discount_Percentage,Price_Discount,Price_Original,price_subscription,Genre_List,OS_List,Memory,Storage,Hard_Drive,VR_Support,Purchase_All,Purchase_Steam,Purchase_Other,Review_All,Review_Positive,Review_Negative
Injustice 2,Very Positive,"1 Dec, 2017",NetherRealm Studios,WB Games,Single-player,violence/bad_language,None,None,None,1499,None,['Action'],['windows'],['4 GB'],['52 GB'],[],None,7152,4507,2645,7152,5896,1256
SMITE,Very Positive,"8 Sep, 2015",Titan Forge Games,Hi-Rez Studios,Steam Achievements,violence/bad_language,None,None,None,Free to Play,None,"['Action', 'Free to Play']",['windows'],['4 GB'],['30 GB'],[],None,62253,1271,60982,62253,50232,12021
DAEMON X MACHINA,Very Positive,"13 Feb, 2020",Marvelous Inc.,XSEED Games,Single-player,None,None,None,None,1299,None,['Action'],['windows'],['6 GB'],['13 GB'],[],None,3897,3664,233,3897,3595,302
War Thunder,Very Positive,"15 Aug, 2013",Gaijin Entertainment,Gaijin Entertainment,Single-player,None,None,None,None,Free to Play,None,"['Action', 'Free to Play', 'Massively Multiplayer', 'Simulation']","['linux', 'windows']","['4 GB', '4 GB']","['12 GB', '12 GB']",[],VR Support,150677,1657,149020,150677,121373,29304
WARRIORS OROCHI 4 Ultimate  OROCHI Ultimate,Very Positive,"16 Oct, 2018","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",Single-player,violence/bad_language,None,None,None,1299,None,['Action'],['windows'],['6 GB'],['25 GB'],[],None,3326,2478,848,3326,2843,483
Assassins Creed Odyssey,Very Positive,"6 Oct, 2018",Ubisoft Quebec,Ubisoft,Single-player,violence/bad_language,None,None,None,2999,None,"['Action', 'Adventure', 'RPG']",['windows'],['8 GB'],['46+ GB'],[],None,62431,52628,9803,62431,54556,7875
Arma 3,Very Positive,"12 Sep, 2013",Bohemia Interactive,Bohemia Interactive,Single-player,violence/bad_language,1999,-70%,599,3877,None,"['Action', 'Simulation', 'Strategy']",[],[],[],[],None,155516,110593,44923,155516,140458,15058
Pummel Party,Very Positive,"20 Sep, 2018",Rebuilt Games,Rebuilt Games,Single-player,None,None,None,None,459,None,"['Action', 'Casual', 'Indie']",['windows'],[' 3 GB RAM'],[' 1 GB available space'],[],None,10546,8510,2036,10546,9577,969
Skul The Hero Slayer,Very Positive,"19 Feb, 2020",SouthPAW Games,NEOWIZ,Single-player,None,None,None,None,499,None,"['Action', 'Indie', 'Early Access']","['linux', 'windows']","['4 GB', '4 GB']","['500 MB', '500 MB']",[],None,3814,3536,278,3814,3492,322
DayZ,Mixed,"13 Dec, 2018",Bohemia Interactive,Bohemia Interactive,Online PvP,violence/bad_language,2799,-40%,1679,679,None,"['Action', 'Adventure', 'Massively Multiplayer']",['windows'],['8 GB'],['16 GB'],[],None,230103,191972,38131,230103,147125,82978
One Step From Eden,Very Positive,"26 Mar, 2020",Thomas Moon Kang,Humble Bundle,Single-player,None,None,None,None,529,None,"['Action', 'Adventure', 'Indie', 'Strategy']","['linux', 'windows']","['2 GB', '2 GB']","['1 GB', '1 GB']",[],None,2051,1809,242,2051,1928,123
Metro Exodus,Very Positive,"14 Feb, 2019",4A Games,Deep Silver,Single-player,violence/bad_language,None,None,None,999,None,['Action'],['windows'],['8 GB'],['59 GB'],[],None,19152,16994,2158,19152,16406,2746
