Game_Title,All_Review_Cat,Release_Date,Game_Developer,Game_Publisher,Player_Type,Has_Violence,Price_Original_Before_Discount,Discount_Percentage,Price_Discount,Price_Original,price_subscription,Genre_List,OS_List,Memory,Storage,Hard_Drive,VR_Support,Purchase_All,Purchase_Steam,Purchase_Other,Review_All,Review_Positive,Review_Negative
The Trud,None,Apr 2020,Matheus Antonio,Matheus Antonio,Single-player,None,None,None,None,None,None,"['Action', 'Adventure', 'Casual', 'Indie']",['windows'],['4 GB RAM'],['6 GB available space'],[],None,None,None,None,None,None,None
Hell To Raze,2 user reviews,"22 Apr, 2020",Hellhound Studios,Hellhound Studios,Single-player,None,None,None,None,Free To Play,None,"['Action', 'Adventure', 'Free to Play', 'Indie', 'Early Access']",['windows'],['4 GB RAM'],['5 GB available space'],[],None,2,0,2,2,1,1
Spacen The Beginning,Mixed,"10 Apr, 2020",ECHTNICE GmbH,ECHTNICE GmbH,Single-player,None,None,None,None,Free,None,"['Action', 'Free to Play', 'Indie']",['windows'],['4 GB RAM'],['500 MB available space'],[],None,11,0,11,11,7,4
Orc Slayer,Mixed,"5 Nov, 2015",Cooply Solutions,Cooply Solutions,Single-player,None,None,None,None,259,None,['Action'],['windows'],['2 GB RAM'],['700 MB available space'],[],None,17,11,6,17,8,9
Batbarian Testament of the Primordials,None,2020,Unspeakable Pixels,DANGEN Entertainment,Single-player,None,None,None,None,None,None,"['Action', 'Adventure', 'Indie', 'RPG']","['windows', 'mac']","['4 GB RAM', '4 GB RAM']","['1 GB available space', '1 GB available space']",[],None,None,None,None,None,None,None
Cake Bash,None,2020,High Tea Frog,Coatsink,Single-player,None,None,None,None,None,None,"['Action', 'Casual', 'Indie']",['windows'],['2 GB RAM'],['800 MB available space'],[],None,None,None,None,None,None,None
Tri6 Infinite,None,"17 Jul, 2020",Clockwork Origins,Clockwork Origins,Single-player,None,None,None,None,None,None,"['Action', 'Casual', 'Indie', 'Racing']","['windows', 'linux', 'mac']","['1 GB RAM', '1 GB RAM', '1 GB RAM']","['500 MB available space', '500 MB available space', '500 MB available space']",[],None,None,None,None,None,None,None
Rustbucket Rumble,Mixed,"4 May, 2015",Reactor Zero,"Scrap Yard Productions, LLC",Cross-Platform Multiplayer,None,None,None,None,Free,None,"['Action', 'Casual', 'Free to Play', 'Indie']","['windows', 'linux', 'mac']","['2 GB RAM', '1 GB RAM', '2 GB RAM']","['1 GB available space', '1 GB available space', '1 GB available space']",[],None,384,10,374,384,210,174
Call of Duty Black Ops III  Multiplayer Starter Pack,Mixed,None,Treyarch,Activision,Full controller support,violence/bad_language,None,None,None,990,None,"['Action', 'Adventure']",['windows'],['6 GB RAM'],['60 GB available space'],[],None,181,105,76,181,117,64
FrightShow Fighter,Mixed,"14 Nov, 2016",3 Fright,3 Fright,Single-player,None,None,None,None,369,None,"['Action', 'Indie']",['windows'],['512 MB RAM'],['1 GB available space'],[],None,23,12,11,23,16,7
Outrider Mako,None,2020,Asamado Games,PLAYISM,Single-player,None,None,None,None,None,None,"['Action', 'Adventure', 'Indie']",['windows'],['8 GB RAM'],['200 MB available space'],[],None,None,None,None,None,None,None
Chunker,None,"1 Dec, 2020",SHIFTRICK,SHIFTRICK,Single-player,None,None,None,None,None,None,"['Action', 'Adventure', 'Indie']",['windows'],['4 GB RAM'],['500 MB available space'],[],None,None,None,None,None,None,None
Ironlights,Mostly Positive,"9 Apr, 2020",E McNeill,E McNeill,Single-player,None,None,None,None,529,None,['Action'],['windows'],['4 GB RAM'],['500 MB available space'],[],VR Support,76,56,20,76,56,20
Super Astreus 2,1 user reviews,"14 Apr, 2020",4M2Q Studios,4M2Q Studios,Single-player,None,None,None,None,379,None,"['Action', 'Casual', 'Indie', 'Early Access']",['windows'],['2 GB RAM'],['600 MB available space'],[],None,1,1,0,1,1,0
ET Armies,Mixed,"4 Mar, 2016",Raspina Studio,Merge Games,Single-player,violence/bad_language,None,None,None,479,None,['Action'],['windows'],['4 GB RAM'],['4 GB available space'],[],None,268,120,148,268,128,140
ORBIT,Mixed,"30 Sep, 2015",4Bit Games,4Bit Games,Steam Achievements,None,None,None,None,319,None,"['Action', 'Indie']",['windows'],['1 GB RAM'],['150 MB available space'],[],None,26,14,12,26,19,7
Iron Madness,Mixed,"3 Mar, 2016",Inane Games,Inane Games,Single-player,None,None,None,None,Free to Play,None,"['Action', 'Casual', 'Free to Play', 'Indie', 'Racing', 'Simulation', 'Sports', 'Early Access']",['windows'],['2 GB RAM'],['600 MB available space'],[],None,91,15,76,91,46,45
VECTORLORD,None,Late Spring 2020,NerveQuake Software Inc.,NerveQuake Software Inc.,Single-player,None,None,None,None,None,None,"['Action', 'Indie']",['windows'],['4 GB RAM'],['350 MB available space'],[],None,None,None,None,None,None,None
Planet Bash,4 user reviews,"8 Sep, 2017",Killerkun,Big Red Planet,Single-player,None,None,None,None,199,None,"['Action', 'Indie', 'Early Access']",['windows'],['2 GB RAM'],['100 MB available space'],[],None,5,4,1,5,4,1
RUCKBALL,Mixed,"17 May, 2019",The Architects Republic,The Architects Republic,Online PvP,None,None,None,None,Free To Play,None,"['Action', 'Free to Play', 'Indie', 'Sports', 'Early Access']",['windows'],['6 GB RAM'],['10 GB available space'],[],None,87,0,87,87,58,29
Relic Hunters Legend,None,Q1 2020 (When It's Ready),Rogue Snail,Rogue Snail,Single-player,None,None,None,None,None,None,"['Action', 'Free to Play', 'Indie', 'RPG', 'Early Access']","['windows', 'linux', 'mac']","['4 GB RAM', '4 GB RAM', '4 GB RAM']","['2 GB available space', '10 GB available space']",[],None,None,None,None,None,None,None
Devils Dare,Mixed,"21 Oct, 2014",Secret Base,Secret Base,Single-player,None,None,None,None,439,None,"['Action', 'Adventure', 'Casual', 'Indie']","['windows', 'linux', 'mac']","['2 GB RAM', '2 GB RAM', '2 GB RAM']","['700 MB available space', '700 MB available space', '700 MB available space']",[],None,146,74,72,146,102,44
Ghostrunner,None,2020,One More Level,All in! Games,Single-player,None,None,None,None,None,None,['Action'],['windows'],['8 GB RAM'],[],[],None,None,None,None,None,None,None
ORBIT,Mixed,"30 Sep, 2015",4Bit Games,4Bit Games,Steam Achievements,None,None,None,None,319,None,"['Action', 'Indie']",['windows'],['1 GB RAM'],['150 MB available space'],[],None,26,14,12,26,19,7
FrightShow Fighter,Mixed,"14 Nov, 2016",3 Fright,3 Fright,Single-player,None,None,None,None,369,None,"['Action', 'Indie']",['windows'],['512 MB RAM'],['1 GB available space'],[],None,23,12,11,23,16,7
Outer Wilds,None,"June 18, 2020",Mobius Digital,Annapurna Interactive,Single-player,violence/bad_language,None,None,None,None,None,"['Action', 'Adventure']",['windows'],['4 GB RAM'],['8 GB available space'],[],None,None,None,None,None,None,None
Castle Crashers  Blacksmith Pack,Very Positive,"26 Sep, 2012",The Behemoth,The Behemoth,Single-player,None,None,None,None,42,None,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']","['windows', 'mac']","['1 GB RAM', '2 GB RAM']",[],"['255 MB HD space', '255 MB HD space']",None,497,444,53,497,483,14
Boo Greedy Kid,Positive,"22 Feb, 2018",Flying Oak Games,Plug In Digital,Single-player,None,None,None,None,199,None,"['Action', 'Indie']","['windows', 'linux', 'mac']","['2048 MB RAM', '2048 MB RAM', '2048 MB RAM']","['170 MB available space', '35 MB available space', '65 MB available space']",[],None,30,13,17,30,28,2
Shutshimi,Positive,"25 Aug, 2015",Neon Deity Games,Choice Provisions,Single-player,violence/bad_language,None,None,None,199,None,"['Action', 'Indie']","['windows', 'linux', 'mac']","['2 GB RAM', '2 GB RAM', '2 GB RAM']","['200 MB available space', '200 MB available space', '200 MB available space']",[],None,122,39,83,122,77,45
Gunman Taco Truck,Very Positive,"28 Jan, 2017",Romero Games Ltd.,Romero Games Ltd.,Single-player,None,None,None,None,125,None,"['Action', 'Indie', 'Strategy']",['windows'],['100 MB RAM'],['100 MB available space'],[],None,138,105,33,138,111,27
Project Zero Deaths,Mostly Positive,"12 Jun, 2019",UAB Detis,UAB Detis,Online PvP,None,None,None,None,Free To Play,None,"['Action', 'Free to Play', 'Early Access']","['windows', 'mac']","['2 GB RAM', '2 GB RAM']","['500 MB available space', '500 MB available space']",[],None,500,0,500,500,396,104
Lovely Planet Arcade,Mostly Positive,"22 Jul, 2016",QUICKTEQUILA,tinyBuild Games,Single-player,None,None,None,None,299,None,"['Action', 'Adventure', 'Casual', 'Indie']","['windows', 'linux', 'mac']","['512 MB RAM', '512 MB RAM', '512 MB RAM']","['100 MB available space', '100 MB available space', '100 MB available space']",[],None,99,61,38,99,74,25
Color Symphony 2,Positive,"16 Oct, 2015",REMIMORY,REMIMORY,Single-player,None,None,None,None,369,None,"['Action', 'Indie']","['windows', 'linux', 'mac']","['1 GB RAM', '1 GB RAM', '1 GB RAM']","['150 MB available space', '150 MB available space', '150 MB available space']",[],None,44,37,7,44,39,5
Creatures Inc,Mixed,"22 Mar, 2019",Little Beavers Games,Little Beavers Games,Single-player,None,None,None,None,690,None,"['Action', 'Indie', 'Simulation', 'Early Access']",['windows'],['8 GB RAM'],['20 GB available space'],[],None,139,106,33,139,85,54
Ravva and the Cyclops Curse,Positive,"15 Jan, 2019",Galope,The Hidden Levels,Single-player,None,None,None,None,125,None,"['Action', 'Adventure', 'Indie']","['windows', 'linux', 'mac']","['2 GB RAM', '2 GB RAM', '2 GB RAM']","['500 MB available space', '500 MB available space', '500 MB available space']",[],None,75,34,41,75,70,5
Beat Hazard 2,Very Positive,"16 Oct, 2019",Cold Beam Games,Cold Beam Games,Single-player,None,None,None,None,519,None,"['Action', 'Casual', 'Indie']",['windows'],['512 MB RAM'],['250 MB available space'],[],None,1271,755,516,1271,1124,147
SMUSHTV  Competitive VR x PC Action,5 user reviews,"27 Feb, 2020",Cyberian Studios,Cyberian Studios,Shared/Split Screen PvP,None,None,None,None,529,None,"['Action', 'Casual', 'Indie', 'Strategy', 'Early Access']",['windows'],['4 GB RAM'],['4 GB available space'],[],VR Support,10,5,5,10,10,0
NeverBound,Positive,"27 Mar, 2018",Enthusiast Games,Enthusiast Games,Single-player,None,None,None,None,529,None,"['Action', 'Indie', 'Early Access']",['windows'],['8 GB RAM'],['4 GB available space'],[],VR Support,24,16,8,24,23,1
Ravva and the Cyclops Curse,Positive,"15 Jan, 2019",Galope,The Hidden Levels,Single-player,None,None,None,None,125,None,"['Action', 'Adventure', 'Indie']","['windows', 'linux', 'mac']","['2 GB RAM', '2 GB RAM', '2 GB RAM']","['500 MB available space', '500 MB available space', '500 MB available space']",[],None,75,34,41,75,70,5
Beat Hazard 2,Very Positive,"16 Oct, 2019",Cold Beam Games,Cold Beam Games,Single-player,None,None,None,None,519,None,"['Action', 'Casual', 'Indie']",['windows'],['512 MB RAM'],['250 MB available space'],[],None,1271,755,516,1271,1124,147
SMUSHTV  Competitive VR x PC Action,5 user reviews,"27 Feb, 2020",Cyberian Studios,Cyberian Studios,Shared/Split Screen PvP,None,None,None,None,529,None,"['Action', 'Casual', 'Indie', 'Strategy', 'Early Access']",['windows'],['4 GB RAM'],['4 GB available space'],[],VR Support,10,5,5,10,10,0
NeverBound,Positive,"27 Mar, 2018",Enthusiast Games,Enthusiast Games,Single-player,None,None,None,None,529,None,"['Action', 'Indie', 'Early Access']",['windows'],['8 GB RAM'],['4 GB available space'],[],VR Support,24,16,8,24,23,1
GlitchPets,Positive,Jul 2018,Cool and Normal Entertainment,Cool and Normal Entertainment,Single-player,None,None,None,None,349,None,"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation', 'Early Access']",['windows'],['2 GB RAM'],['6 GB available space'],[],None,45,22,23,45,41,4
VR Invaders,Positive,"15 Dec, 2016",MY.GAMES,MY.GAMES,Single-player,None,None,None,None,559,None,['Action'],['windows'],['8 GB RAM'],['3 GB available space'],[],VR Support,32,23,9,32,26,6
Freaking Meatbags,Very Positive,"4 Feb, 2015",Wild Factor,Plug In Digital,Single-player,None,None,None,None,619,None,"['Action', 'Indie', 'Strategy']","['windows', 'linux', 'mac']","['1 GB RAM', '1 GB RAM', '1 GB RAM']","['210 MB available space', '260 MB available space', '250 MB available space']",[],None,142,58,84,142,127,15
Space Rift  Episode 1,Mostly Positive,"2 Aug, 2016",Vibrant Core,bitComposer Interactive GmbH,Single-player,violence/bad_language,None,None,None,Space Rift Demo,None,"['Action', 'Adventure', 'Simulation']",['windows'],['4 GB RAM'],['4 GB available space'],[],VR Support,70,56,14,70,54,16
Age of Barbarian Extended Cut,Mostly Positive,"20 May, 2016",Crian Soft,Crian Soft,Single-player,None,None,None,None,439,None,"['Action', 'Adventure', 'Indie', 'RPG']",['mac'],['4 GB RAM'],[],[],None,565,540,25,565,440,125
Battle of Red Cliffs VR,Mostly Positive,"2 Nov, 2017",WISECAT,WISECAT,Single-player,None,699,-50%,349,None,None,['Action'],['windows'],['8 GB RAM'],['3 GB available space'],[],VR Support,39,37,2,39,31,8
Dins Curse,Very Positive,"31 Mar, 2010",Soldak Entertainment,Soldak Entertainment,Single-player,None,None,None,None,369,None,"['Action', 'Indie', 'RPG']","['windows', 'mac']","['256 MB RAM', '256 MB RAM']",[],[],None,184,164,20,184,160,24
Dark Zone Defense,Positive,"30 Oct, 2019",Supernature,Supernature,Single-player,None,None,None,None,219,None,"['Action', 'Adventure', 'Indie']",['mac'],['2048 MB RAM'],['600 MB available space'],[],None,33,13,20,33,29,4
Paladins  Champions Pack,Very Positive,"26 Apr, 2018",Hi-Rez Studios,None,Online PvP,violence/bad_language,None,None,None,729,None,"['Action', 'Free to Play']","['windows', 'mac']","['4 GB RAM', '2 GB RAM']","['30 GB available space', '10 GB available space']",[],None,55,52,3,55,46,9
Sigi  A Fart for Melusina,Positive,"22 Dec, 2017",pixel.games,pixel.games,Single-player,None,None,None,None,199,None,"['Action', 'Indie']",['windows'],['2 GB RAM'],['250 MB available space'],[],None,90,41,49,90,79,11
Under a Desert Sun,Mostly Positive,"19 Feb, 2017",TotalGearGames,TotalGearGames,Single-player,None,125,-60%,50,None,None,"['Action', 'Adventure', 'Indie', 'Early Access']",['windows'],['8 GB RAM'],['8000 MB available space'],[],VR Support,20,20,0,20,14,6
Panoptic,Very Positive,"16 May, 2019",Team Panoptes,Team Panoptes,Shared/Split Screen PvP,None,None,None,None,Panoptic Demo,None,"['Action', 'Indie', 'Early Access']",['windows'],['4 GB RAM'],['1 GB available space'],[],VR Support,65,62,3,65,61,4
Starbound  Soundtrack,Very Positive,"5 Dec, 2013",Chucklefish,None,None,violence/bad_language,None,None,None,42,None,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",[],[],['766 MB available space'],[],None,193,181,12,193,186,7
HEIANKYO ALIEN,Positive,"13 Oct, 2017","Mindware Co.,Ltd.","Mindware Co.,Ltd.",Single-player,None,None,None,None,459,None,"['Action', 'Indie']",['windows'],[' GB RAM'],[],[],None,23,20,3,23,21,2
Bit Blaster XL Soundtrack,Very Positive,"6 Dec, 2016",Spiff Tune,Nickervision Studios,Single-player,None,None,None,None,Free,None,"['Action', 'Casual', 'Indie']","['windows', 'linux', 'mac']",[],[],[],None,56,3,53,56,54,2
Life is Strange  Directors Commentary,Very Positive,"19 Jan, 2016",DONTNOD Entertainment,Square Enix,Single-player,violence/bad_language,None,None,None,None,None,"['Action', 'Adventure']",['windows'],['2 GB RAM'],['8 GB available space'],[],None,305,4,301,305,289,16
LEGO MARVELs Avengers DLC  SpiderMan Character Pack,Very Positive,"25 May, 2016",Traveller's Tales,Warner Bros. Interactive Entertainment,Single-player,Fear,None,None,None,Free To Play,None,"['Action', 'Adventure']",['windows'],['4 GB RAM'],['14 GB available space'],[],None,181,10,171,181,157,24
FULFILLMENT,Very Positive,"12 Nov, 2019",Unbound Creations,Unbound Creations,Single-player,None,None,None,None,Free,None,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie']","['windows', 'linux']","['512 MB RAM', '512 MB RAM']","['300 MB available space', '300 MB available space']",[],None,174,0,174,174,159,15
Headcrab Frenzy,Very Positive,"20 Aug, 2015",Crystice Softworks,Crystice Softworks,Single-player,None,None,None,None,Free to Play,None,"['Action', 'Casual', 'Free to Play', 'Indie']","['windows', 'linux']","['128 MB RAM', '1 GB RAM']","['200 MB available space', '250 MB available space']",[],None,249,7,242,249,223,26
ChronoBreach,Very Positive,"30 Apr, 2019",UpsilonGames,UpsilonGames,Single-player,None,None,None,None,Free,None,"['Action', 'Free to Play', 'Indie']",['windows'],['1 GB RAM'],[],[],None,226,0,226,226,221,5
Fortress Forever,Very Positive,"13 Sep, 2007",Fortress Forever Development Team,Fortress Forever,Includes level editor,None,None,None,None,None,None,"['Action', 'Free to Play', 'Indie']",['windows'],['512 MB RAM'],['5 GB available space'],[],None,1145,20,1125,1145,1026,119
Alien Swarm,Very Positive,"19 Jul, 2010",Valve,Valve,Single-player,None,None,None,None,Free,None,['Action'],['windows'],['1 GB for XP  2GB for Vista'],[],['At least 25 GB of free space'],None,19038,332,18706,19038,18059,979
Pink Heaven,Very Positive,"4 Nov, 2015",Studio Pixel,PLAYISM,Single-player,None,None,None,None,Free to Play,None,"['Action', 'Free to Play', 'Indie']",['windows'],['1 GB RAM'],['20 MB available space'],[],None,673,12,661,673,607,66
Neon Boost,Very Positive,"20 May, 2019",Sample Text Studio,Sample Text Studio,Single-player,None,None,None,None,Free To Play,None,"['Action', 'Free to Play', 'Indie']",['windows'],['8 GB RAM'],['2 GB available space'],[],None,1622,0,1622,1622,1459,163
Brawlhalla  Collectors Pack,Very Positive,"3 Nov, 2015",Blue Mammoth Games,Ubisoft,Single-player,None,None,None,None,4999,None,"['Action', 'Free to Play', 'Indie']","['windows', 'mac']","['1 GB RAM', '1 GB RAM']","['75 MB available space', '200 MB available space']",[],None,263,238,25,263,251,12
Teeworlds,Very Positive,"27 May, 2007",Teeworlds Team,Teeworlds Team,Online PvP,None,None,None,None,Free,None,"['Action', 'Free to Play', 'Indie']",['windows'],['512 MB RAM'],['10 MB available space'],[],None,3930,65,3865,3930,3470,460
Alien Swarm,Very Positive,"19 Jul, 2010",Valve,Valve,Single-player,None,None,None,None,Free,None,['Action'],['windows'],['1 GB for XP  2GB for Vista'],[],['At least 25 GB of free space'],None,19038,332,18706,19038,18059,979
Pink Heaven,Very Positive,"4 Nov, 2015",Studio Pixel,PLAYISM,Single-player,None,None,None,None,Free to Play,None,"['Action', 'Free to Play', 'Indie']",['windows'],['1 GB RAM'],['20 MB available space'],[],None,673,12,661,673,607,66
Quell 4D,Very Positive,"14 Oct, 2016",Rubycone,Rubycone,Single-player,None,None,None,None,565,None,"['Action', 'Indie']",['windows'],['8 GB RAM'],['7 GB available space'],[],VR Support,89,86,3,89,72,17
Dungeons Forever,Very Positive,"5 Feb, 2018",Timedrop Studios,Timedrop Studios,Single-player,None,None,None,None,Free,None,"['Action', 'Free to Play', 'Indie']","['windows', 'linux']","['2 GB RAM', '2 GB RAM']","['100 MB available space', '100 MB available space']",[],None,110,0,110,110,88,22
Aborigenus,Positive,"17 Oct, 2018",Flying Islands Team,Flying Islands Team,Single-player,None,None,None,None,168,None,"['Action', 'Adventure', 'Indie']",['windows'],['512 MB RAM'],['100 MB available space'],[],None,52,37,15,52,40,12
Dragon Bros,Positive,"16 Sep, 2016",Space Lizard Studio LTD,Space Lizard Studio LTD,Single-player,None,None,None,None,359,None,"['Action', 'Casual', 'Indie']","['windows', 'linux']","['4 GB RAM', '4 GB RAM']","['550 MB available space', '500 MB available space']",[],None,28,18,10,28,26,2
Near Death,Very Positive,"2 Aug, 2016",Orthogonal Games,Orthogonal Games,Single-player,None,None,None,None,299,None,"['Action', 'Adventure', 'Indie']","['windows', 'mac']","['4 GB RAM', '4 GB RAM']","['1 GB available space', '1 GB available space']",[],None,716,680,36,716,655,61
Lance A Lot Enhanced Edition,Very Positive,"28 Sep, 2017",Brimstone,Brimstone,Single-player,None,None,None,None,299,None,"['Action', 'Casual', 'Indie']","['windows', 'linux', 'mac']","['4 GB RAM', '4 GB RAM', '4 GB RAM', '4 GB RAM']","['2 GB available space', '2 GB available space', '2 GB available space', '2 GB available space']",[],None,54,50,4,54,51,3
Hyper Jam,Very Positive,"12 Feb, 2019",Bit Dragon,Bit Dragon,Online PvP,None,419,-40%,251,None,None,"['Action', 'Indie']",['windows'],['4 GB RAM'],['4500 MB available space'],[],None,221,191,30,221,208,13
BREAK ARTS II,Mostly Positive,"9 Feb, 2018",MercuryStudio,PLAYISM,Single-player,None,None,None,None,459,None,"['Action', 'Indie', 'Racing']",['windows'],['6 GB RAM'],['8 GB available space'],[],None,569,516,53,569,435,134
Nature Calls,Very Positive,"21 May, 2018",KX Games,KX games,Online PvP,None,None,None,None,259,None,"['Action', 'Casual', 'Indie']",['windows'],['1 GB RAM'],['3 GB available space'],[],None,480,355,125,480,428,52
The Underground Watcher,Positive,"22 Apr, 2019",Yima VLG.,Yima VLG.,Single-player,None,None,None,None,219,None,"['Action', 'Indie']",['windows'],['1024 MB RAM'],['1 GB available space'],[],None,33,23,10,33,31,2
Spaceman Sparkles 3,Positive,"21 Mar, 2016",tjern,tjern,Single-player,None,None,None,None,Spaceman Sparkles 3 Demo,None,['Action'],"['windows', 'linux']",[],"['500 MB available space', '500 MB available space']",[],None,27,15,12,27,25,2
The Hive,Mostly Positive,"25 Aug, 2016",Skydome Entertainment,Skydome Entertainment,Single-player,None,None,None,None,459,None,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Strategy']","['windows', 'linux', 'mac']","['2 GB RAM', '4 GB RAM', '2 GB RAM']","['3 GB available space', '3 GB available space', '3 GB available space']",[],None,253,177,76,253,186,67
Ball 3D Soccer Games,Mostly Positive,"31 Mar, 2017",Unusualsoft,Unusualsoft,Online PvP,None,None,None,None,Free To Play,None,"['Action', 'Free to Play', 'Racing', 'Sports']","['windows', 'mac']","['1 GB RAM', '1 GB RAM']","['500 MB available space', '500 MB available space']",[],None,3862,0,3862,3862,3019,843
Blame Him,Mixed,"3 Jun, 2019",Chilla's Art,Chilla's Art,Single-player,None,None,None,None,459,None,"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",['windows'],['8 GB RAM'],['30 GB available space'],[],None,63,58,5,63,30,33
ARENA GODS,Very Positive,"16 Oct, 2017",Supertype,Supertype,Single-player,None,None,None,None,459,None,"['Action', 'Indie', 'Sports', 'Early Access']","['windows', 'mac']","['4 GB RAM', '4 MB RAM']",[],[],None,104,70,34,104,86,18
La Tale  Evolved,Mixed,"17 Nov, 2017",Actoz Soft,Papaya Play,Single-player,None,None,None,None,Free To Play,None,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'RPG']",['windows'],['2 GB RAM'],['2 GB available space'],[],None,298,0,298,298,161,137
Thorne  Death Merchants,Mostly Positive,"26 Mar, 2016",Thorne Games,Aldorlea Games,Single-player,None,None,None,None,165,None,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",['windows'],['128 MB RAM'],['200 MB available space'],[],None,217,135,82,217,181,36
Attack of the Bugs,Positive,"29 Nov, 2017",Empty Clip Studios,Empty Clip Studios,Single-player,None,None,None,None,299,None,['Action'],['windows'],['4 GB RAM'],['512 MB available space'],[],VR Support,38,25,13,38,35,3
Project Winter  Blackout,Positive,"1 Nov, 2019",Other Ocean Interactive,Other Ocean Group,Online PvP,None,259,-40%,155,None,None,"['Action', 'Adventure', 'Casual', 'Indie', 'Strategy']",['windows'],['4 GB RAM'],['3 GB available space'],[],None,22,22,0,22,21,1
Santa Claws,Mostly Positive,"13 Dec, 2019",Adam DeLease,Adam DeLease,Single-player,None,None,None,None,42,None,"['Action', 'Adventure', 'Indie']","['windows', 'linux', 'mac']",[],"['350 MB available space', '350 MB available space', '350 MB available space', '350 MB available space']",[],None,34,28,6,34,27,7
Bendy and the Ink Machine,Very Positive,"27 Apr, 2017",Joey Drew Studios,Joey Drew Studios,Single-player,None,None,None,None,529,None,"['Action', 'Adventure', 'Free to Play', 'Indie', 'Strategy']",['windows'],['8 GB RAM'],['2 GB available space'],[],None,13622,3756,9866,13622,11880,1742
KO Mech,Positive,"19 Jul, 2018",ektomarch,ektomarch,Single-player,None,None,None,None,42,None,"['Action', 'Indie']","['windows', 'mac']","['4 GB RAM', '4 GB RAM']","['1 GB available space', '1 GB available space']",[],None,43,18,25,43,40,3
Trivia Vault Boxing Trivia,Mostly Positive,"25 Mar, 2018",Ripknot Systems,Ripknot Systems,Single-player,None,None,None,None,700,None,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",['windows'],['500 MB RAM'],['500 MB available space'],[],None,41,25,16,41,25,16
Dark Raider,Mostly Positive,"26 Jan, 2020",UNREAL DARK STUD,Moment Interactive Limited,Single-player,None,None,None,None,259,None,"['Action', 'Adventure', 'Indie', 'Early Access']",['windows'],['4 GB RAM'],[],[],None,42,35,7,42,34,8
MIND TWINS  The Twisted Coop Platformer,Mostly Negative,"20 Jan, 2018",DRUNKEN APES,DRUNKEN APES,Single-player,None,125,-50%,62,None,None,"['Action', 'Casual', 'Indie']","['windows', 'mac']","['512 MB RAM', '512 MB RAM']","['500 MB available space', '500 MB available space']",[],None,18,12,6,18,5,13
Shu,Positive,"4 Oct, 2016",Coatsink,Coatsink,Single-player,violence/bad_language,None,None,None,349,None,"['Action', 'Adventure', 'Indie']",['windows'],['3 GB RAM'],['3 GB available space'],[],None,148,40,108,148,120,28
Breach  Clear,Very Positive,"22 Mar, 2014",Mighty Rabbit Studios,Good Shepherd Entertainment,Single-player,None,None,None,None,479,None,"['Action', 'RPG', 'Simulation', 'Strategy']","['windows', 'mac']","['2 GB RAM', '2 GB RAM']","['3 GB available space', '3 GB available space']",[],None,2142,1762,380,2142,1769,373
SHE SAVE,Positive,"14 Jul, 2017",いくちおすてご,いくちおすてご,Single-player,None,None,None,None,259,None,['Action'],"['windows', 'mac']",[],"['400 MB available space', '400 MB available space']",[],None,41,39,2,41,34,7
Rocket Boots Mania,Positive,"29 Nov, 2018",Contra Concept,Contra Concept,Single-player,None,None,None,None,419,None,"['Action', 'Adventure', 'Indie', 'Racing', 'Early Access']",['windows'],['4 GB RAM'],['1 GB available space'],[],None,39,21,18,39,39,0
Cycle 28,Positive,"9 Mar, 2018",Pill Bug Interactive,Pill Bug Interactive,Single-player,None,259,-80%,51,21,None,"['Action', 'Indie']","['windows', 'linux', 'mac']","['4 GB RAM', '4 GB RAM', '4 GB RAM']","['800 MB available space', '800 MB available space', '800 MB available space']",[],None,43,24,19,43,37,6
Time Up,Positive,"11 Oct, 2017",Grid Game,Grid Game,Single-player,None,None,None,None,79,None,"['Action', 'Adventure', 'Casual', 'Indie']","['windows', 'mac']","['2 GB RAM', '2 GB RAM']","['512 MB available space', '512 MB available space']",[],None,87,40,47,87,83,4
Cave Story,Overwhelmingly Positive,"23 Nov, 2011","Nicalis, Inc.","Nicalis, Inc.",Single-player,None,None,None,None,459,None,"['Action', 'Adventure', 'Indie']","['windows', 'linux']","['128 MB RAM', '128 MB RAM']",[],"['200 MB HD space', '200 MB HD space']",None,5787,3228,2559,5787,5529,258
Fair Deal Las Vegas,Positive,"21 Dec, 2018",Gronzragüer Games,Gronzragüer Games,Single-player,None,None,None,None,Demo,None,"['Action', 'Indie']","['windows', 'mac']","['1 GB RAM', '1 GB RAM']","['300 MB available space', '300 MB available space']",[],None,17,11,6,17,17,0
Super Dungeon Master Ace RPG,Positive,"15 Oct, 2017",Dave Gumble,Dave Gumble,Single-player,None,None,None,None,Free,None,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",['windows'],['512 MB RAM'],['290 MB available space'],[],None,34,0,34,34,28,6
