Game_Title,All_Review_Cat,Release_Date,Game_Developer,Game_Publisher,Player_Type,Has_Violence,Price_Original_Before_Discount,Discount_Percentage,Price_Discount,Price_Original,price_subscription,Genre_List,OS_List,Memory,Storage,Hard_Drive,VR_Support,Purchase_All,Purchase_Steam,Purchase_Other,Review_All,Review_Positive,Review_Negative
Fortified,Mostly Positive,"3 Feb, 2016",Clapfoot,Clapfoot,Single-player,None,None,None,None,479,None,"['Action', 'Indie', 'Strategy']",['windows'],[' 4 GB RAM'],[' 4 GB available space'],[],None,1529,167,1362,1529,1164,365
SAMURAI WARRIORS 4II,Mostly Positive,"29 Sep, 2015","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",Single-player,violence/bad_language,None,None,None,989,None,['Action'],['windows'],['1 GB'],['11 GB'],[],None,1095,958,137,1095,851,244
Taur,Mostly Positive,"20 Feb, 2020",Echo Entertainment,Echo Entertainment,Single-player,None,None,None,None,569,None,"['Action', 'Indie', 'Strategy']",['windows'],['4 GB'],['3 GB'],[],None,549,511,38,549,440,109
Hyperdrive Massacre,Positive,"12 Oct, 2015",34BigThings srl,34BigThings srl,Single-player,None,None,None,None,369,None,"['Action', 'Casual', 'Indie']","['linux', 'windows']","['2 GB', '2 GB']","['450 MB', '450 MB']",[],None,276,18,258,276,157,119
VCB Why City Beta Version,Very Positive,"26 Nov, 2018",KishMish Games,KishMish Games,Single-player,None,None,None,None,None,None,"['Action', 'Adventure', 'Indie', 'Racing']",['windows'],['1024 MB'],['800 MB'],[],None,2460,1983,477,2460,2025,435
Resident Evil 3 Raccoon City Demo,Very Positive,"19 Mar, 2020","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Single-player,violence/bad_language,None,None,None,Free,None,['Action'],['windows'],['8 GB'],['8 GB'],[],None,8872,10,8862,8872,8079,793
Resident Evil 3 Raccoon City Demo,Very Positive,"19 Mar, 2020","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Single-player,violence/bad_language,None,None,None,Free,None,['Action'],['windows'],['8 GB'],['8 GB'],[],None,8872,10,8862,8872,8079,793
Double Dragon IV,Mixed,"31 Jan, 2017",Arc System Works,Arc System Works,Single-player,violence/bad_language,None,None,None,479,None,['Action'],['windows'],[' 2 GB RAM'],[' 2 GB available space'],[],None,578,532,46,578,358,220
EVERSPACE,Mostly Positive,"26 May, 2017",ROCKFISH Games,ROCKFISH Games,Single-player,violence/bad_language,None,None,None,729,None,"['Action', 'Indie']","['linux', 'windows', 'mac']","['4 GB', '4 GB', '4 GB']","['12 GB', '12 GB', '12 GB']",[],VR Support,7415,6278,1137,7415,5933,1482
The Black Masses,Mostly Positive,"12 Mar, 2020",Brilliant Game Studios,Brilliant Game Studios,Single-player,None,None,None,None,529,None,"['Action', 'Adventure', 'Indie', 'RPG', 'Early Access']",['windows'],['8 GB'],['15 GB'],[],None,232,221,11,232,179,53
Mutant Year Zero Road to Eden,Very Positive,"4 Dec, 2018",The Bearded Ladies,Funcom,Single-player,None,None,None,None,1059,None,"['RPG', 'Strategy']",['windows'],['6 GB'],['8 GB'],[],None,14301,8659,5642,14301,12983,1318
Warhammer Vermintide 2  Back to Ubersreik,Mostly Positive,"10 Dec, 2018",Fatshark,Fatshark,Single-player,None,None,None,None,349,None,['Action'],['windows'],['6 GB'],['45 MB'],[],None,447,404,43,447,339,108
Castlevania Lords of Shadow 2,Very Positive,"25 Feb, 2014",MercurySteam,Konami Digital Entertainment,Single-player,violence/bad_language,None,None,None,Castlevania Lords of Shadow 2 Demo,None,"['Action', 'Adventure']",['windows'],['2 GB'],['10 GB'],[],None,3232,2325,907,3232,2707,525
The Chaos Engine,Mostly Positive,"29 Aug, 2013",Abstraction Games,Rebellion,Single-player,violence/bad_language,None,None,None,369,None,['Action'],"['linux', 'windows', 'mac']","['1 GB', '2 GB', '1 GB', '1 GB']","['400 MB', '400 MB', '400 MB', '400 MB']",[],None,330,196,134,330,215,115
Mega Man X Legacy Collection 2  X   2,Mostly Positive,"24 Jul, 2018","CAPCOM CO., LTD","CAPCOM CO., LTD",Single-player,violence/bad_language,None,None,None,1799,None,['Action'],['windows'],['2 GB'],['7 GB'],[],None,651,569,82,651,461,190
Batman Arkham Asylum Game of the Year Edition,Overwhelmingly Positive,"27 Mar, 2010",Rocksteady Studios,Warner Bros. Interactive Entertainment,Single-player,None,None,None,None,565,None,"['Action', 'Adventure']","['windows', 'mac']",['1GB Ram(XP)/2GB'],[],['8GB free'],None,25340,15195,10145,25340,24324,1016
Techwars Global Conflict,Mostly Positive,"1 Oct, 2018",Argus Games,Promo Trade Toys LLC,MMO,None,None,None,None,Free to Play,None,"['Action', 'Free to Play', 'Indie', 'Massively Multiplayer', 'Strategy']",['windows'],['4 GB'],['7 GB'],[],None,247,10,237,247,181,66
Descenders,Very Positive,"7 May, 2019",RageSquid,No More Robots,Single-player,None,None,None,None,569,None,"['Action', 'Racing', 'Sports']","['linux', 'windows', 'mac']","['4 GB', '4 GB', '4 GB']","['3 GB', '3 GB', '3 GB']",[],None,3162,2348,814,3162,2912,250
Last Year,Mixed,"10 Dec, 2019",Elastic Games,Elastic Games,Online PvP,None,None,None,None,529,None,['Action'],['windows'],['8 GB'],['30 GB'],[],None,5178,2474,2704,5178,3209,1969
Blastworld,Positive,"20 Nov, 2019",Hipfire Games,Hipfire Games,Online PvP,None,None,None,None,Free To Play,None,"['Action', 'Indie', 'Early Access']",['windows'],['4 GB'],['200 MB'],[],VR Support,15,0,15,15,13,2
MINERVA,Very Positive,"28 Apr, 2013",Adam Foster,Adam Foster,Single-player,None,None,None,None,Free,None,"['Action', 'Adventure']",['windows'],['512 MB'],[],['500 MB'],None,1260,12,1248,1260,1172,88
INSURGENCY Modern Infantry Combat,Very Positive,"23 Oct, 2007",Insurgency Development Team,New World Interactive,Mods,None,None,None,None,Free,None,['Action'],[],[],[],[],None,2182,26,2156,2182,1915,267
Rogue Trooper,Very Positive,"23 May, 2006",Rebellion,Rebellion,Single-player,violence/bad_language,None,None,None,369,None,['Action'],[],[],[],[],None,303,276,27,303,286,17
The Ship Single Player,Mixed,"20 Nov, 2006",Outerlight Ltd.,Blazing Griffin Ltd.,Single-player,None,None,None,None,369,None,"['Action', 'Indie', 'RPG']",[],[],[],[],None,871,374,497,871,613,258
Dead by Daylight  The Halloween Chapter,Very Positive,"25 Oct, 2016",Behaviour Digital Inc.,Behaviour Digital Inc.,Downloadable Content,violence/bad_language,None,None,None,319,None,['Action'],['windows'],['8 GB'],['15 GB'],[],None,3023,2675,348,3023,2751,272
ZONE OF THE ENDERS THE 2nd RUNNER  MRS,Mostly Positive,"4 Sep, 2018",Konami Digital Entertainment,Konami Digital Entertainment,Single-player,violence/bad_language,None,None,None,1890,None,['Action'],['windows'],['4 GB'],['15 GB'],[],VR Support,364,279,85,364,260,104
Slayone,Mixed,"16 Apr, 2018","Beijing AMPBox Technology Co., Ltd.",Slay.one,Online PvP,None,None,None,None,349,None,['Action'],"['linux', 'windows', 'mac']","['4 GB', '4 GB', '4 GB']","['300 MB', '400 MB', '300 MB']",[],None,119,21,98,119,73,46
ScourgeBringer,Very Positive,"6 Feb, 2020",Flying Oak Games,Dear Villagers,Single-player,None,None,None,None,459,None,"['Action', 'Adventure', 'Indie', 'Early Access']","['linux', 'windows', 'mac']","['2048 MB', '2048 MB', '2048 MB']","['300 MB', '300 MB', '300 MB']",[],None,831,767,64,831,783,48
Tom Clancys Splinter Cell Blacklist,Very Positive,"22 Aug, 2013",Ubisoft Toronto,Ubisoft,Single-player,None,None,None,None,999,None,"['Action', 'Adventure']",['windows'],['2 GB'],[],['25 GB'],None,13265,11361,1904,13265,11034,2231
Thief Simulator,Very Positive,"9 Nov, 2018",Noble Muffins,PlayWay S.A.,Single-player,None,None,None,None,529,None,"['Action', 'Adventure', 'Indie', 'Simulation']","['windows', 'mac']","['8 GB', '8 GB']","['5 GB', '5 GB']",[],None,6465,6029,436,6465,5389,1076
Post Scriptum,Mostly Positive,"9 Aug, 2018",Periscope Games,Offworld Industries,Online PvP,None,None,None,None,1045,None,"['Action', 'Indie', 'Massively Multiplayer', 'Simulation', 'Strategy']",['windows'],['8 GB'],['35 GB'],[],None,9228,6896,2332,9228,6760,2468
Assassins Creed 2 Deluxe Edition,Very Positive,"5 Mar, 2010",Ubisoft Montreal,Ubisoft,Single-player,None,None,None,None,499,None,"['Action', 'Adventure']",['windows'],['1.5 GB'],[],['8 GB'],None,22951,20966,1985,22951,19916,3035
Call of Duty WWII,Mixed,"2 Nov, 2017",Sledgehammer Games,Activision,Single-player,violence/bad_language,None,None,None,3999,None,['Action'],['windows'],[' 8 GB RAM'],[' 90 GB available space'],[],None,23851,14503,9348,23851,14201,9650
A Plague Tale Innocence,Very Positive,"14 May, 2019",Asobo Studio,Focus Home Interactive,Single-player,None,None,None,None,1599,None,"['Action', 'Adventure']",['windows'],['8 GB'],['50 GB'],[],None,18368,15643,2725,18368,17368,1000
Generation Zero,Mixed,"26 Mar, 2019",Systemic Reaction,Systemic Reaction,Single-player,None,None,None,None,785,None,"['Action', 'Adventure']",['windows'],['8 GB'],['35 GB'],[],None,9606,6139,3467,9606,5875,3731
Metro 2033 Redux,Very Positive,"28 Aug, 2014",4A Games,Deep Silver,Single-player,None,None,None,None,565,None,['Action'],"['linux', 'windows', 'mac']","['2 GB', '8 GB', '4 GB']","['10 GB', '10 GB', '10 GB']",[],None,43582,37116,6466,43582,36458,7124
Call of Duty 4 Modern Warfare,Very Positive,"12 Nov, 2007",Infinity Ward,Activision,Single-player,None,None,None,None,1300,None,['Action'],"['windows', 'mac']",[],[],[],None,11615,9003,2612,11615,10692,923
Quantum Break,Very Positive,"29 Sep, 2016",Remedy Entertainment,Xbox Game Studios,Single-player,violence/bad_language,None,None,None,849,None,['Action'],['windows'],['8 GB'],['68 GB'],[],None,15675,11508,4167,15675,13345,2330
Shotgun Farmers,Very Positive,"8 Mar, 2019",Megastorm Games,Megastorm Games,Single-player,None,349,-30%,244,None,None,"['Action', 'Indie']","['linux', 'windows', 'mac']","['2 GB', '2 GB', '2 GB']","['2 GB', '2 GB', '2 GB']",[],None,1943,1780,163,1943,1829,114
Overgrowth,Mostly Positive,"16 Oct, 2017",Wolfire Games,Wolfire Games,Single-player,None,729,-67%,240,None,None,"['Action', 'Indie']","['windows', 'mac']","['2 GB', '2 GB']","['17 GB', '20 GB']",[],None,5274,3272,2002,5274,3886,1388
Mega Man 11  11,Very Positive,"2 Oct, 2018","CAPCOM CO., LTD.","CAPCOM CO., LTD.",Single-player,violence/bad_language,None,None,None,2499,None,['Action'],['windows'],['4 GB'],[],[],None,2219,1756,463,2219,2045,174
Call of Duty World at War,Very Positive,"18 Nov, 2008",Treyarch,Activision,Single-player,None,None,None,None,1300,None,['Action'],[],[],[],[],None,27062,22341,4721,27062,25344,1718
FateEXTELLA LINK,Very Positive,"19 Mar, 2019",Marvelous Inc.,XSEED Games,Single-player,None,None,None,None,1099,None,['Action'],['windows'],['4 GB'],['14 GB'],[],None,2399,2056,343,2399,2249,150
Monster Hunter World Iceborne Deluxe Kit,Very Positive,"9 Jan, 2020","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Single-player,violence/bad_language,None,None,None,999,None,['Action'],['windows'],['8 GB'],['48 GB'],[],None,94,74,20,94,76,18
HARDCORE MECHA,Very Positive,"26 Jun, 2019",RocketPunch Games,RocketPunch Games,Single-player,None,None,None,None,529,None,"['Action', 'Indie']",['windows'],['2 GB'],['10 GB'],[],None,1885,1612,273,1885,1560,325
Far Cry 3,Very Positive,"29 Nov, 2012","Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",Ubisoft,Single-player,None,None,None,None,999,None,"['Action', 'Adventure']",['windows'],['4 GB'],[],['15 GB'],None,57811,50982,6829,57811,51679,6132
RESIDENT EVIL 7 biohazard  BIOHAZARD 7 resident evil,Very Positive,"24 Jan, 2017","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Single-player,violence/bad_language,None,None,None,1999,None,"['Action', 'Adventure']",['windows'],['8 GB'],['24 GB'],[],None,26764,16052,10712,26764,24814,1950
DYNASTY WARRIORS 8 Empires,Mixed,"27 Feb, 2015","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",Single-player,violence/bad_language,None,None,None,989,None,['Action'],['windows'],['512 MB'],['10 GB'],[],None,1041,898,143,1041,678,363
Jump King,Very Positive,"3 May, 2019",Nexile,Nexile,Single-player,None,None,None,None,449,None,"['Action', 'Adventure', 'Indie']",['windows'],[' 2 GB RAM'],[' 1200 MB available space'],[],None,2857,2642,215,2857,2611,246
MDK2 HD,Mixed,"31 Jul, 2012",Overhaul Games,Interplay Inc.,Single-player,None,None,None,None,479,None,['Action'],['windows'],['512 MB'],[],['1 GB'],None,104,92,12,104,58,46
The Isle,Very Positive,"1 Dec, 2015",Afterthought LLC,Afterthought LLC,Partial Controller Support,None,None,None,None,565,None,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'Simulation', 'Early Access']",['windows'],['8 GB'],['25 GB'],[],None,20462,18883,1579,20462,16310,4152
AXEL  Air XenoDawn,Mostly Positive,"5 Dec, 2015",Alex Piola,KISS ltd,Single-player,None,None,None,None,None,None,"['Action', 'Indie', 'Simulation']",['windows'],[' 2 GB RAM'],[' 1 GB available space'],[],None,1054,28,1026,1054,807,247
Shadow Arena,Mixed,Early 2020,Pearl Abyss,Pearl Abyss,Online PvP,None,None,None,None,None,None,"['Action', 'Free to Play', 'Massively Multiplayer']",['windows'],['4 GB'],['10 GB'],[],None,1521,157,1364,1521,895,626
Assassins Creed III Remastered,Mixed,"29 Mar, 2019",Ubisoft Entertainment,Ubisoft Entertainment,Single-player,violence/bad_language,None,None,None,1999,None,"['Action', 'Adventure']",['windows'],['8 GB'],['45 GB'],[],None,3250,2613,637,3250,1470,1780
Gutwhale,Very Positive,"6 Apr, 2020",Stuffed Wombat,Stuffed Wombat,Single-player,None,None,None,None,199,None,"['Action', 'Indie']",['windows'],[' 1 GB RAM'],[' 128 MB available space'],[],None,72,65,7,72,70,2
Tcheco in the Castle of Lucio,Very Positive,"23 Jun, 2015",Marcelo Barbosa,Marcelo Barbosa,Single-player,None,None,None,None,42,None,"['Action', 'Indie']",['windows'],[' 1 GB RAM'],[' 160 MB available space'],[],None,621,488,133,621,561,60
AGents,Mostly Positive,"17 Apr, 2016",phime studio LLC,phime studio LLC,Single-player,None,None,None,None,199,None,"['Action', 'Indie']","['linux', 'windows', 'mac']","['1 GB', '1 GB', '1 GB']","['200 MB', '200 MB', '200 MB']",[],None,125,26,99,125,102,23
Road Redemption,Very Positive,"4 Oct, 2018","EQ-Games , Pixel Dash Studios",Tripwire Interactive,Single-player,None,None,None,None,529,None,"['Action', 'Adventure', 'Indie', 'Racing', 'Simulation']","['linux', 'windows', 'mac']","['8 GB', '4 GB', '8 GB']","['1000 MB', '1000 MB', '4 GB']",[],None,7688,6181,1507,7688,6280,1408
HalfLife 2,Overwhelmingly Positive,"16 Nov, 2004",Valve,Valve,Single-player,None,None,None,None,349,None,['Action'],['windows'],['512 MB'],[' 6500 MB available space'],[],None,98170,69671,28499,98170,95306,2864
DYNASTY WARRIORS 7 Xtreme Legends Definitive Edition,Very Positive,"6 Dec, 2018","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",Single-player,violence/bad_language,None,None,None,529,None,['Action'],['windows'],['2 GB'],['25 GB'],[],None,494,416,78,494,434,60
Metro Exodus  Sams Story,Mostly Positive,"11 Feb, 2020",4A Games,Deep Silver,Single-player,violence/bad_language,None,None,None,499,None,"['Action', 'Adventure']",['windows'],['8 GB'],['59 MB'],[],None,505,449,56,505,394,111
Middleearth Shadow of Mordor,Very Positive,"30 Sep, 2014",Monolith Productions,WB Games,Single-player,None,None,None,None,989,None,[],"['linux', 'windows', 'mac']","['3 GB', '8 GB', '8 GB']","['44 GB', '67 GB', '47 GB']",[],None,61365,37973,23392,61365,56493,4872
EARTH DEFENSE FORCE 41 WINGDIVER THE SHOOTER,Mostly Positive,"26 Apr, 2018",Clouds,D3 PUBLISHER,Single-player,None,None,None,None,529,None,['Action'],['windows'],['4 GB'],['1.8 GB'],[],None,94,82,12,94,69,25
Total War WARHAMMER II  The Shadow  The Blade,Mostly Positive,"12 Dec, 2019",CREATIVE ASSEMBLY,SEGA,Single-player,violence/bad_language,None,None,None,429,None,"['Action', 'Strategy']","['linux', 'windows', 'mac']","['5 GB', '8 GB', '6 GB', '8 GB']","['60 GB', '60 GB', '52 GB']",[],None,474,438,36,474,368,106
Tom Clancys Splinter Cell Conviction,Mostly Positive,"29 Apr, 2010",Ubisoft Montreal,Ubisoft,Single-player,None,None,None,None,749,None,['Action'],['windows'],['1.5 GB'],[],['10 GB'],None,2192,1921,271,2192,1580,612
Max Payne 3,Very Positive,"1 Jun, 2012",Rockstar Studios,Rockstar Games,Single-player,None,None,None,None,978,None,['Action'],['windows'],['2GB -'],[],[],None,30566,24491,6075,30566,25602,4964
Kane  Lynch 2 Dog Days,Mixed,"17 Aug, 2010",IO Interactive,Square Enix,Single-player,violence/bad_language,None,None,None,369,None,['Action'],['windows'],['1 GB'],[],[],None,5609,3610,1999,5609,3378,2231
1V5Notes of Soul,Mostly Positive,"17 Jan, 2019",搞快点工作室,拾遗社,MMO,None,None,None,None,900,None,"['Action', 'Adventure', 'Casual', 'Indie', 'Massively Multiplayer', 'Racing', 'RPG', 'Strategy', 'Early Access']",['windows'],['4 GB'],['14 GB'],[],None,13879,11398,2481,13879,11220,2659
Saber Fight VR,Mostly Positive,"3 Jan, 2020",Saber Fight VR,Saber Fight VR,Single-player,None,None,None,None,349,None,"['Action', 'Indie', 'Simulation']",['windows'],['4 GB'],['512 MB'],[],VR Support,82,78,4,82,62,20
Medal of Honor Airborne,Mostly Positive,"4 Sep, 2007",EA Los Angeles,Electronic Arts,Single-player,None,None,None,None,369,None,['Action'],['windows'],['1 GB'],[],['9.0 GB'],None,2602,2358,244,2602,2067,535
Dead by Daylight  Cursed Legacy Chapter,Mostly Positive,"3 Dec, 2019",Behaviour Digital Inc.,Behaviour Digital Inc.,Online PvP,violence/bad_language,None,None,None,259,None,['Action'],['windows'],['8 GB'],['25 GB'],[],None,374,344,30,374,269,105
Halo Spartan Assault,Very Positive,"4 Apr, 2014",Vanguard Games,Xbox Game Studios,Single-player,None,None,None,None,169,None,['Action'],['windows'],['1 GB'],['2550 MB'],[],None,3698,3217,481,3698,2969,729
Devil May Cry 4 Special Edition,Very Positive,"23 Jun, 2015","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Single-player,violence/bad_language,None,None,None,1499,None,['Action'],['windows'],['2 GB'],['27 GB'],[],None,7201,5419,1782,7201,6531,670
resident evil 4  biohazard 4,Very Positive,"28 Feb, 2014",Capcom,Capcom,Single-player,violence/bad_language,None,None,None,1199,None,"['Action', 'Adventure']",['windows'],['2 GB'],['15 GB'],[],None,19771,14688,5083,19771,17108,2663
Jurassic World Evolution,Mostly Positive,"12 Jun, 2018",Frontier Developments,Frontier Developments,Single-player,None,None,None,None,2855,None,"['Simulation', 'Strategy']",['windows'],['8 GB'],['8 GB'],[],None,26120,23846,2274,26120,20899,5221
ARK Aberration  Expansion Pack,Mostly Positive,"12 Dec, 2017",Studio Wildcard,None,Single-player,violence/bad_language,565,-50%,282,None,None,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG']","['linux', 'windows', 'mac']","['8 GB', '4000 MB', '4000 MB']",[' 20 GB available space'],[],None,2636,2406,230,2636,1989,647
CODE SHIFTER,Mixed,"30 Jan, 2020","LAND HO! Co., Ltd.",Arc System Works,Single-player,violence/bad_language,None,None,None,529,None,['Action'],['windows'],['4 GB'],['3 GB'],[],None,29,26,3,29,15,14
Cuphead,Overwhelmingly Positive,"29 Sep, 2017",Studio MDHR Entertainment Inc.,Studio MDHR Entertainment Inc.,Single-player,None,None,None,None,565,None,"['Action', 'Indie']","['windows', 'mac']","['3 GB', '4 GB']","['4 GB', '4 GB']",[],None,54402,47334,7068,54402,52338,2064
A grande baguna espacial  The big space mess,Very Positive,"5 Apr, 2016",RMAL,SouKing,Single-player,None,None,None,None,42,None,"['Action', 'Casual', 'Indie']",['windows'],[],['2 GB'],[],None,1070,115,955,1070,674,396
Holdfast Nations At War,Very Positive,"5 Mar, 2020",Anvil Game Studios,Anvil Game Studios,Online PvP,None,None,None,None,565,None,"['Action', 'Indie', 'Massively Multiplayer', 'Simulation', 'Strategy']",['windows'],['6 GB'],['20 GB'],[],None,8035,7370,665,8035,6965,1070
Ultimate Chicken Horse,Overwhelmingly Positive,"4 Mar, 2016",Clever Endeavour Games,Clever Endeavour Games,Online PvP,None,None,None,None,459,None,"['Action', 'Casual', 'Indie']","['linux', 'windows', 'mac']","['2 GB', '2 GB', '2 GB']","['2 GB', '2 GB', '2 GB']",[],None,14400,11028,3372,14400,13794,606
Barbearian,Positive,"15 Aug, 2018",Kimmo Lahtinen,Kimmo Factor Oy,Single-player,None,None,None,None,399,None,"['Action', 'Indie']",['windows'],[' 1 GB RAM'],[' 300 MB available space'],[],None,49,30,19,49,43,6
Chicken Shoot Gold,Mixed,"1 Nov, 2003",ToonTRAXX Studios,Topware Interactive,Single-player,None,None,None,None,319,None,"['Action', 'Casual', 'Indie']",['mac'],['512 MB'],['250 MB'],[],None,345,125,220,345,213,132
Daikatana,Mixed,"23 May, 2000",None,Square Enix,Single-player,None,None,None,None,319,None,['Action'],['windows'],[' 512 MB RAM'],[' 1 GB available space'],[],None,572,301,271,572,311,261
Contra Anniversary Collection,Very Positive,"11 Jun, 2019",Konami Digital Entertainment,Konami Digital Entertainment,Single-player,violence/bad_language,None,None,None,529,None,['Action'],['windows'],['4 GB'],['504 MB'],[],None,205,149,56,205,169,36
Marvels Avengers,None,"4 Sep, 2020",Crystal Dynamics,Square Enix,Single-player,None,None,None,None,2999,None,"['Action', 'Adventure', 'RPG']",['windows'],[],[],[],None,None,None,None,None,None,None
Arizona Sunshine,Very Positive,"6 Dec, 2016",Vertigo Games,Vertigo Games,Single-player,violence/bad_language,None,None,None,849,None,"['Action', 'Adventure', 'Indie']",['windows'],['8 GB'],['12 GB'],[],VR Support,5384,4513,871,5384,4498,886
Terminator Resistance,Very Positive,"14 Nov, 2019",Teyon,Reef Entertainment,Single-player,violence/bad_language,None,None,None,1800,None,"['Action', 'Adventure', 'RPG']",['windows'],['8 GB'],['32 GB'],[],None,3449,2805,644,3449,3236,213
DmC Devil May Cry,Very Positive,"24 Jan, 2013",Ninja Theory,Capcom,Single-player,violence/bad_language,None,None,None,1799,None,"['Action', 'Adventure']",['windows'],['2 GB'],[],['9 GB'],None,18112,10545,7567,18112,16989,1123
FIVE NIGHTS AT FREDDYS HELP WANTED,Overwhelmingly Positive,"28 May, 2019",Steel Wool Studios,ScottGames,Single-player,None,699,-20%,559,279,None,"['Action', 'Casual']",['windows'],[' 8 GB RAM'],[' 11 GB available space'],[],VR Support,2170,2065,105,2170,2115,55
Far Cry Primal,Very Positive,"1 Mar, 2016",Ubisoft,Ubisoft,Single-player,None,None,None,None,2499,None,"['Action', 'Adventure']",['windows'],['4 GB'],['20 GB'],[],None,15737,14326,1411,15737,12615,3122
MASS Builder,Very Positive,"13 Sep, 2019",Vermillion Digital,Sekai Project,Single-player,None,None,None,None,1073,None,"['Action', 'Indie', 'RPG', 'Strategy', 'Early Access']",['windows'],[' 8 GB RAM'],[' 3 GB available space'],[],None,831,757,74,831,759,72
MASS Builder,Very Positive,"13 Sep, 2019",Vermillion Digital,Sekai Project,Single-player,None,None,None,None,1073,None,"['Action', 'Indie', 'RPG', 'Strategy', 'Early Access']",['windows'],[' 8 GB RAM'],[' 3 GB available space'],[],None,831,757,74,831,759,72
Forts,Very Positive,"19 Apr, 2017",EarthWork Games,EarthWork Games,Single-player,None,None,None,None,479,None,"['Action', 'Strategy']",['windows'],[' 4 GB RAM'],[' 1 GB available space'],[],None,5309,4061,1248,5309,4621,688
Musashi vs Cthulhu,Positive,"14 Jan, 2020",Cyber Rhino Studios,Cyber Rhino Studios,Single-player,None,None,None,None,165,None,"['Action', 'Early Access']",['windows'],[' 2 GB RAM'],[' 1 GB available space'],[],None,19,15,4,19,18,1
Wolfenstein II The New Colossus,Mostly Positive,"27 Oct, 2017",Machine Games,Bethesda Softworks,Single-player,violence/bad_language,None,None,None,1999,None,['Action'],['windows'],['8 GB'],['55 GB'],[],None,20997,12526,8471,20997,15785,5212
Assassins Creed Brotherhood,Very Positive,"17 Mar, 2011",Ubisoft Montreal,Ubisoft,Single-player,None,None,None,None,749,None,"['Action', 'Adventure']",['windows'],['1.5 GB'],[],['8 GB'],None,9510,8494,1016,9510,8407,1103
My Friend Pedro,Overwhelmingly Positive,"20 Jun, 2019",DeadToast Entertainment,Devolver Digital,Single-player,None,None,None,None,529,None,"['Action', 'Indie']",['windows'],['4 GB'],['4 GB'],[],None,17628,15751,1877,17628,16992,636
Hollow Knight,Overwhelmingly Positive,"24 Feb, 2017",Team Cherry,Team Cherry,Single-player,None,None,None,None,479,None,"['Action', 'Adventure', 'Indie']","['linux', 'windows', 'mac']","['4 GB', '4 GB', '4 GB']","['9 GB', '9 GB', '9 GB']",[],None,84430,73132,11298,84430,81518,2912
Ironsight Asia,Mixed,"20 Jun, 2019","WipleGames Inc.,","WipleGames Inc.,",Single-player,None,None,None,None,Free To Play,None,"['Action', 'Free to Play']",['windows'],['6 GB'],['8 GB'],[],None,2392,0,2392,2392,1523,869
Blood Branched Sakura,Positive,"13 Mar, 2020",Dedreek The-Terrible,Unreal Gaming,Single-player,None,None,None,None,125,None,"['Action', 'Adventure', 'Indie']",['windows'],['2 GB'],['100 MB'],[],None,49,47,2,49,49,0
Last Floor,Positive,"16 Mar, 2020",AK Studio,AK Studio,Single-player,None,None,None,None,199,None,"['Action', 'Adventure', 'Indie']",['windows'],[' 5 GB RAM'],['600 MB'],[],None,37,26,11,37,29,8
Deliver Us The Moon,Very Positive,"10 Oct, 2019",KeokeN Interactive,Wired Productions,Single-player,violence/bad_language,None,None,None,569,None,"['Action', 'Adventure', 'Indie']",['windows'],['4 GB'],['10 GB'],[],None,2035,1592,443,2035,1812,223
EvilMorph,Very Positive,"3 Feb, 2017",ClickGames,ClickGames,Single-player,None,None,None,None,229,None,"['Action', 'Adventure', 'Indie']",['windows'],[' 250 MB RAM'],[],[],None,89,75,14,89,76,13
Space Engineers Deluxe,Very Positive,"22 Dec, 2016",Keen Software House,None,Single-player,violence/bad_language,None,None,None,299,None,"['Action', 'Indie', 'Simulation', 'Strategy']",['windows'],['8 GB'],['10 GB'],[],None,159,155,4,159,139,20
Serious Sam Fusion 2017 beta,Very Positive,None,Croteam,Devolver Digital,Single-player,None,None,None,None,479,None,"['Action', 'Indie']","['linux', 'windows', 'mac']","['4 GB', '2 GB', '2 GB']","['10 GB', '10 GB', '10 GB']",[],VR Support,2263,1761,502,2263,2120,143
SUPERHOT,Very Positive,"25 Feb, 2016",SUPERHOT Team,SUPERHOT Team,Single-player,violence/bad_language,619,-50%,309,None,None,"['Action', 'Indie']","['windows', 'mac']","['4 GB', '8 GB']","['4 GB', '3 GB']",[],None,21326,13337,7989,21326,18900,2426
Portal Knights  Druids Furfolk and Relic Defense,Positive,"20 Feb, 2020",Keen Games,505 Games,Single-player,None,349,-10%,314,None,None,"['Action', 'Adventure', 'RPG']",['windows'],['4 GB'],['8 GB'],[],None,33,31,2,33,30,3
